,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,Year,corn_yield_per_acre,corn_price_per_bushel,land_rental_price,corn_planted_acres,year,total_rain,rain_days,max_temp,min_temp,max_wind,too_cold_days,too_hot_days
0,COOK,Cook,Cook County,17031,IL,ILLINOIS,41.8401,-87.8168,5169517,2021,170.3,5.4,95.0,"2,860",2021.0,17.279527559055126,50.0,96.08,37.04,,15.0,1.0
1,COOK,Cook,Cook County,17031,IL,ILLINOIS,41.8401,-87.8168,5169517,2019,174.0,3.55,,"1,000",2019.0,30.188976377952752,71.0,96.98,42.08,,18.0,2.0
2,COOK,Cook,Cook County,17031,IL,ILLINOIS,41.8401,-87.8168,5169517,2016,170.0,3.43,,"3,000",2016.0,24.830708661417322,55.0,93.92,37.94,,15.0,0.0
3,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2021,73.9,6.0,43.0,"6,060",2021.0,36.200787401574814,98.0,99.5,52.34,,0.0,22.0
4,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2021,73.9,6.0,23.0,"6,060",2021.0,36.200787401574814,98.0,99.5,52.34,,0.0,22.0
5,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2021,73.9,6.0,10.5,"6,060",2021.0,36.200787401574814,98.0,99.5,52.34,,0.0,22.0
6,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2020,107.8,4.52,50.0,"5,000",2020.0,0.0,0.0,107.24,47.84,,1.0,71.0
7,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2020,107.8,4.52,24.5,"5,000",2020.0,0.0,0.0,107.24,47.84,,1.0,71.0
8,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2019,102.4,4.2,77.5,"8,300",2019.0,0.0,0.0,102.38,58.1,,0.0,56.0
9,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2019,102.4,4.2,20.0,"8,300",2019.0,0.0,0.0,102.38,58.1,,0.0,56.0
10,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2019,102.4,4.2,11.0,"8,300",2019.0,0.0,0.0,102.38,58.1,,0.0,56.0
11,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2018,68.2,4.13,,"7,480",2018.0,0.0,0.0,105.8,56.3,,0.0,72.0
12,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2017,91.7,3.7,85.5,"8,900",2017.0,0.0,0.0,104.0,47.84,,2.0,59.0
13,BEXAR,Bexar,Bexar County,48029,TX,TEXAS,29.4489,-98.52,1978826,2017,91.7,3.7,20.0,"8,900",2017.0,0.0,0.0,104.0,47.84,,2.0,59.0
