Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,,99,OTHER COUNTIES,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"87,230",0.8
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,800",1.9
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100",2.8
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,330",2.2
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,600",1.5
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100",2.8
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,030",2.9
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,450",3.0
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,160",1.7
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,160",3.1
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,560",3.0
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"14,300",2.8
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,600",4.6
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,470",1.6
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"22,500",2.7
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"28,200",2.5
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,000",1.9
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"29,100",2.6
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"33,500",2.5
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100",2.8
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,960,4.0
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,540",3.0
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,870,3.1
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,710",2.9
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,680,2.5
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,420",2.9
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,620",1.6
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,950",2.3
SURVEY,2021,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,960",2.9
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,,99,OTHER COUNTIES,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"199,770",1.1
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,290",1.7
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"53,400",3.4
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"21,400",2.0
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,800",1.8
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"54,100",2.9
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"43,300",2.8
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"31,900",2.7
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"44,700",1.8
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"25,700",1.6
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,000",3.9
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"24,200",3.9
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,JACKSON,67,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"18,400",1.6
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,POINSETT,111,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"31,400",4.1
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,WHITE,145,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,650",3.4
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"38,900",2.7
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,CHICOT,17,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,800",1.7
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,DESHA,41,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"37,000",2.0
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,DREW,43,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"17,200",2.0
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"42,900",3.3
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"20,300",1.7
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,SOUTHWEST,70,LAFAYETTE,73,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"13,100",1.6
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,WEST CENTRAL,40,JOHNSON,71,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,000",1.5
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,WEST CENTRAL,40,LOGAN,83,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,050",1.9
SURVEY,2021,YEAR,,COUNTY,ARKANSAS,5,WEST CENTRAL,40,YELL,149,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,740",2.9
SURVEY,2021,YEAR,,COUNTY,CALIFORNIA,6,,99,OTHER COUNTIES,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"26,280",2.0
SURVEY,2021,YEAR,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,460",1.7
